Question,Class,Categories,Not important,NI_score,Somewhat important,SI_score,Important,I_score,Extremely important,E_score
18,Graduate Student,Friendly,4.65%,2,17.76%,19,7.30%,13,3.05%,4
18,Graduate Student,Intelligent,2.33%,1,0.93%,1,8.43%,15,16.03%,21
18,Graduate Student,Enthusiastic,0.00%,0,1.87%,2,7.30%,13,17.56%,23
18,Graduate Student,Approachable,2.33%,1,2.80%,3,6.74%,12,16.79%,22
18,Graduate Student,Funny,44.19%,19,12.15%,13,3.37%,6,0.00%,0
18,Graduate Student,Inspirational,4.65%,2,8.41%,9,11.24%,20,4.58%,6
18,Graduate Student,Critical,9.30%,4,14.02%,15,7.30%,13,4.58%,6
18,Graduate Student,Analytical,9.30%,4,7.48%,8,10.67%,19,4.58%,6
18,Graduate Student,Detail-oriented,11.63%,5,14.02%,15,8.99%,16,0.76%,1
18,Graduate Student,Demanding,11.63%,5,13.08%,14,8.43%,15,2.29%,3
18,Graduate Student,Depth of knowledge,0.00%,0,4.67%,5,8.43%,15,12.98%,17
18,Graduate Student,Breadth of knowledge,0.00%,0,2.80%,3,10.67%,19,11.45%,15
18,Graduate Student,Other,0.00%,0,0.00%,0,1.12%,2,5.34%,7
18,Faculty member,Friendly,9.09%,1,12.31%,8,11.11%,11,1.27%,1
18,Faculty member,Intelligent,0.00%,0,0.00%,0,10.10%,10,13.92%,11
18,Faculty member,Enthusiastic,0.00%,0,1.54%,1,5.05%,5,18.99%,15
18,Faculty member,Approachable,0.00%,0,7.69%,5,8.08%,8,10.13%,8
18,Faculty member,Funny,45.45%,5,21.54%,14,2.02%,2,0.00%,0
18,Faculty member,Inspirational,9.09%,1,10.77%,7,10.10%,10,3.80%,3
18,Faculty member,Critical,9.09%,1,7.69%,5,15.15%,15,0.00%,0
18,Faculty member,Analytical,0.00%,0,4.62%,3,9.09%,9,11.39%,9
18,Faculty member,Detail-oriented,9.09%,1,23.08%,15,5.05%,5,0.00%,0
18,Faculty member,Demanding,18.18%,2,7.69%,5,11.11%,11,3.80%,3
18,Faculty member,Depth of knowledge,0.00%,0,0.00%,0,6.06%,6,17.72%,14
18,Faculty member,Breadth of knowledge,0.00%,0,3.08%,2,6.06%,6,16.46%,13
18,Faculty member,Other,0.00%,0,0.00%,0,1.01%,1,2.53%,2